id;name;slug;description;specifications;status;unit;warranty_duration;weight;brand_id
1;iPhone 15 pro;iphone-15-pro;"Chiếc iPhone mới nhất của Apple với camera cải tiến và chip A17 Bionic.";{};1;pcs;12;0.5;1
2;MacBook Pro 16;macbook-pro-16;"Laptop mạnh mẽ dành cho chuyên gia, sử dụng chip M3 Max và pin lâu dài.";{};1;pcs;24;2.1;1
3;Samsung Galaxy Tab S9;samsung-galaxy-tab-s9;"Máy tính bảng hiệu suất cao với màn hình AMOLED đẹp mắt và hỗ trợ bút S Pen.";{};1;pcs;12;0.8;2
4;Sony WH-1000XM5;sony-wh-1000xm5;"Tai nghe chống ồn cao cấp với chất lượng âm thanh hàng đầu.";{};1;pcs;24;0.3;3
5;LG OLED TV 55";lg-oled-tv-55;"TV OLED 55 inch với độ phân giải 4K và âm thanh Dolby Atmos.";{};1;pcs;36;15;7
6;Asus ROG Gaming Laptop;asus-rog-gaming-laptop;"Laptop chơi game với màn hình tần số quét cao và hệ thống làm mát tiên tiến.";{};1;pcs;24;2.8;13
7;Google Pixel Watch 2;google-pixel-watch-2;"Đồng hồ thông minh tích hợp Fitbit và theo dõi sức khỏe dựa trên AI.";{};1;pcs;12;0.2;14
8;Bose SoundLink Revolve;bose-soundlink-revolve;"Loa Bluetooth di động với âm thanh 360 độ và khả năng chống nước.";{};1;pcs;12;1;8
9;PlayStation 5;playstation-5;"Máy chơi game thế hệ mới với hỗ trợ 8K và ổ SSD nhanh cho thời gian tải tối thiểu.";{};1;pcs;36;4;12
10;Xiaomi Mi Air Purifier;xiaomi-mi-air-purifier;"Máy lọc không khí tiên tiến với bộ lọc HEPA và tích hợp nhà thông minh.";{};1;pcs;24;6;11
