id;name;description
1;Apple;Thương hiệu cao cấp toàn cầu
2;SamSung;Thương hiệu uy tín từ Hàn Quốc
3;Sony;Thương hiệu chất lượng cao
4;DELL;Thương hiêu Lap top uy tín từ Mỹ
5;HP;Thương hiệu laptop uy tín
6;Lenovo;Thương hiệu laptop từ Trung Quốc
7;LG;Thương hiệu uy tín
8;Bose;Unknown
9;Huawei;Thương hiệu Trung Quốc
10;Microsoft;Thương hiệu máy tính toàn cầu
11;Xiaomi;Thương hiệu điện thoại Trung Quốc
12;Nitendo;Thương hiệu điện tử Nhật Bản
13;Asus;Thương hiệu Trung Quốc
14;Google;Gã khổng lồ công nghệ thế giới
